Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,DEPARTMENT FOR EDUCATION,23/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,PAUSE CREATING SPACE FOR CHANGE,1041118449,103863.61,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DEPARTMENT FOR EDUCATION,23/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,DONCASTER CHILDRENS SERVICES TRUST,1041118483,132547,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DEPARTMENT FOR EDUCATION,23/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,DONCASTER CHILDRENS SERVICES TRUST,1041118483,110140,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DEPARTMENT FOR EDUCATION,23/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,DONCASTER CHILDRENS SERVICES TRUST,1041118483,120067,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DEPARTMENT FOR EDUCATION,23/03/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,ECORYS UK LTD,1041118528,44978.19,Research and Development
Department for Education,DEPARTMENT FOR EDUCATION,25/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,DONCASTER CHILDRENS SERVICES TRUST,1041119151,93811,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DEPARTMENT FOR EDUCATION,27/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,FAMILY RIGHTS GROUP LTD,1041119557,58313,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DEPARTMENT FOR EDUCATION,27/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,MAYORS OFFICE FOR POLICING AND CRIME,1041119774,82500,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DEPARTMENT FOR EDUCATION,27/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,EARLY INTERVENTION FOUNDATION,1041119776,191515,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DEPARTMENT FOR EDUCATION,30/03/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,NESTA,1041119896,292269.12,"Fees / expenses of professionals such as auditors, accountants, lawyers, etc. engaged to provide advice or opinion on how to affect something"
Department for Education,DEPARTMENT FOR EDUCATION,30/03/2020,Other Goods & Services,CHILDRENS SOCIAL CARE,NESTA,1041119896,33882.02,"Fees / expenses of professionals such as auditors, accountants, lawyers, etc. engaged to provide advice or opinion on how to affect something"
Department for Education,DEPARTMENT FOR EDUCATION,30/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,THE FOSTERING NETWORK,1041120026,59454.75,Grants to educational establishments or not for profit organisations including other businesses
