Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,CALDERDALE METRO BOROUGH COUNCIL,CL044584,"358,995.23 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,CAMBRIDGESHIRE COUNTY COUNCIL,CL044585,"1,741,166.84 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,CENTRAL BEDFORDSHIRE COUNCIL,CL044586,"1,512,354.24 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,Cheshire East Council,CL044587,"625,916.03 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,CHESHIRE WEST & CHESTER COUNCIL,CL044588,"249,352.90 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,CITY OF YORK COUNCIL,CL044664,"94,364.74 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,CORNWALL COUNCIL,CL044589,"635,684.87 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,COVENTRY CITY COUNCIL,CL044590,"1,524,946.86 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,CUMBRIA COUNTY COUNCIL,CL044591,"51,446.19 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,DEVON COUNTY COUNCIL,CL044592,"883,664.64 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,DONCASTER METRO BOROUGH COUNCIL,CL044593,"367,626.26 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,DUDLEY METRO BOROUGH COUNCIL,CL044594,"603,713.49 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/05/2022,Grants Expenditure,Capital Directorate,DURHAM COUNTY COUNCIL,CL044595,"110,233.98 ",Capital grants - Local Government,,,,,,,,,
