Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,,
Department for Education,Core,24/02/2022,IS/IT,Digital and Technology,Bae Systems Applied Intelligence Ltd,CORE-PINV-033050,"129,245.84",Systems Development,,,,,,,,,
Department for Education,Core,24/02/2022,IS/IT,Digital and Technology,Bae Systems Applied Intelligence Ltd,CORE-PINV-033052,"55,045.00",Systems Development,,,,,,,,,
Department for Education,Core,08/02/2022,IS/IT,Digital and Technology,Bytes Software Services Ltd,CORE-PINV-032000,"1,112,408.63",Systems Development,,,,,,,,,
Department for Education,Core,23/02/2022,IS/IT,Digital and Technology,Bytes Software Services Ltd,CORE-PINV-032913,"47,697.12",End User Software & Hardware,,,,,,,,,
Department for Education,Core,15/02/2022,IS/IT,Digital and Technology,Roc Technologies Limited,CORE-PINV-032591,"78,860.47",ICT repair & maintenance,,,,,,,,,
Department for Education,Core,07/02/2022,IS/IT,Digital and Technology,SOL-TEC LIMITED,CORE-PINV-032129,"106,145.90",Systems Development,,,,,,,,,
Department for Education,Core,07/02/2022,Other Goods & Services,Digital and Technology,SOL-TEC LIMITED,CORE-PINV-032131,"35,237.40",Professional Services,,,,,,,,,
Department for Education,Core,07/02/2022,IS/IT,Digital and Technology,SOL-TEC LIMITED,CORE-PINV-032128,"27,896.80",Systems Development,,,,,,,,,
Department for Education,Core,07/02/2022,Staff - Temporary Staff,Digital and Technology,SOL-TEC LIMITED,CORE-PINV-032130,"28,967.40",Short term & agency staff,,,,,,,,,
Department for Education,Core,18/02/2022,IS/IT,Digital and Technology,Methods Business and Digital Technology Ltd,CORE-PINV-032752,"207,684.00",Systems Operations,,,,,,,,,
Department for Education,Core,23/02/2022,Other Goods & Services,Digital and Technology,Parity Consultancy Services Limited,CORE-PINV-032822,"40,726.56",Professional Services,,,,,,,,,
Department for Education,Core,07/02/2022,IS/IT,Digital and Technology,SOL-TEC LIMITED,CORE-PINV-032127,"30,968.16",Systems Operations,,,,,,,,,
Department for Education,Core,22/02/2022,IS/IT,Digital and Technology,STONE COMPUTERS LTD,CORE-PINV-032919,"51,831.36",Server Hardware,,,,,,,,,
Department for Education,Core,04/02/2022,Other Costs,Analysis,ECORYS UK LTD,CORE-PINV-032039,"46,378.50",Research & development,,,,,,,,,
Department for Education,Core,07/02/2022,Other Goods & Services,Analysis,ECORYS UK LTD,CORE-PINV-032139,"95,178.00",Research & Evaluation,,,,,,,,,
Department for Education,Core,11/02/2022,Other Costs,Analysis,ECORYS UK LTD,CORE-PINV-032466,"29,375.00",Research & development,,,,,,,,,
Department for Education,Core,09/02/2022,Other Costs,Analysis,IFF RESEARCH LTD,CORE-PINV-032391,"64,600.00",Research & development,,,,,,,,,
Department for Education,Core,18/02/2022,Other Costs,Analysis,IFF RESEARCH LTD,CORE-PINV-032575,"50,000.00",Research & development,,,,,,,,,
Department for Education,Core,24/02/2022,Other Goods & Services,Analysis,LONDON ECONOMICS LTD,CORE-PINV-033119,"24,590.00",Research & Evaluation,,,,,,,,,
Department for Education,Core,01/02/2022,Other Costs,Analysis,NATIONAL FOUNDATION FOR EDUCATIONAL RESEARCH NFER,CORE-PINV-031764,"130,000.00",Research & development,,,,,,,,,
Department for Education,Core,15/02/2022,Other Costs,Analysis,University of Warwick,CORE-PINV-032565,"118,332.00",Research & development,,,,,,,,,
Department for Education,Core,08/02/2022,IS/IT,Data,CAPGEMINI UK PLC,CORE-PINV-032189,"25,940.45",ICT repair & maintenance,,,,,,,,,
Department for Education,Core,22/02/2022,IS/IT,Data,Engine Partners UK LLP - Engine Transformation,CORE-PINV-032880,"68,730.00",ICT repair & maintenance,,,,,,,,,
Department for Education,Core,22/02/2022,IS/IT,Data,Engine Partners UK LLP - Engine Transformation,CORE-PINV-032871,"60,804.00",ICT repair & maintenance,,,,,,,,,
Department for Education,Core,22/02/2022,IS/IT,Data,Engine Partners UK LLP - Engine Transformation,CORE-PINV-032872,"26,480.00",ICT repair & maintenance,,,,,,,,,
Department for Education,Core,22/02/2022,IS/IT,Data,Engine Partners UK LLP - Engine Transformation,CORE-PINV-032878,"42,924.00",ICT repair & maintenance,,,,,,,,,
Department for Education,Core,22/02/2022,IS/IT,Data,FARSIGHT CONSULTING LIMITED,CORE-PINV-032848,"29,562.00",ICT repair & maintenance,,,,,,,,,
