Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,Core,09/02/2023,Other Goods & Services,Capital Directorate,COGNIZANT WORLDWIDE LIMITED,D-PINV052203,"99,779.40",Professional Services
Department for Education,Core,09/02/2023,Other Goods & Services,Capital Directorate,COGNIZANT WORLDWIDE LIMITED,D-PINV052204,"39,507.00",Professional Services
Department for Education,Core,20/02/2023,Grants Expenditure,Capital Directorate,KINGSTON UPON HULL CITY COUNCIL,DU00099106,"6,666,618.00",Capital grants - Local Government
Department for Education,Core,01/02/2023,Grants Expenditure,Capital Directorate,King David High School,D-CINV003861,"31,700.56",Capital grants - Local Government
Department for Education,Core,08/02/2023,Grants Expenditure,Capital Directorate,Wohl Ilford Jewish Primary School,D-CINV003925,"45,284.40",Capital grants - Local Government
Department for Education,Core,17/02/2023,Grants Expenditure,Capital Directorate,The Camden School for Girls,D-CINV003974,"46,668.60",Capital grants - Local Government
Department for Education,Core,17/02/2023,Grants Expenditure,Capital Directorate,The Camden School for Girls,D-CINV003976,"27,226.90",Capital grants - Local Government
Department for Education,Core,22/02/2023,Grants Expenditure,Capital Directorate,Manchester Mesivta School,D-CINV004015,"43,668.76",Capital grants - Local Government
Department for Education,Core,08/02/2023,Grants Expenditure,Capital Directorate,NORTHUMBERLAND COUNTY COUNCIL,D-CINV003918,"43,162.86",Capital Grant - Local Government
Department for Education,Core,08/02/2023,Grants Expenditure,Capital Directorate,St Catherine's Secure Centre,D-CINV003927,"26,498.44",Capital Grants - Private Sector (Non Profit Institutions Serving Households)
Department for Education,Core,20/02/2023,Grants Expenditure,Capital Directorate,SOUTHWARK LONDON BOROUGH COUNCIL,CL058693,"3,000,000.00",Capital grants - Local Government
Department for Education,Core,20/02/2023,Grants Expenditure,Capital Directorate,HARINGEY LONDON BOROUGH COUNCIL,CL058694,"7,000,000.00",Capital grants - Local Government
