Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,BRADFORD CITY COUNCIL,CORE-MAIN-014616,45754.00,Grants to local authorities
Department for Education,DfE Core,25/02/2021,Other Goods & Services,CHILDRENS SOCIAL CARE,DEPARTMENT OF HEALTH,CORE-PINV-016291,36705.60,Other Professional Services
Department for Education,DfE Core,26/02/2021,Professional Services,CHILDRENS SOCIAL CARE,THE FRONTLINE ORGANISATION,CORE-PINV-016319,108860.00,EDUCATIONAL SERVICES
Department for Education,DfE Core,03/02/2021,Legal,COMMUNICATIONS DIRECTORATE,THE GOVERNMENT LEGAL DEPARTMENT,CORE-PINV-007291,23890.80,Legal advisory services from the Government Legal Department including the provision of external specialist advice and opinion
Department for Education,DfE Core,03/02/2021,Other Goods & Services,Adoption and Children in Care Division,Mott MacDonald,CORE-PINV-014688,132416.95,Other Professional Services
Department for Education,DfE Core,04/02/2021,Consultancy,Adoption and Children in Care Division,FAMILY LIVES,CORE-PINV-014598,83745.65,IS/IT Services - Consultancy
Department for Education,DfE Core,11/02/2021,Grants expenditure,Adoption and Children in Care Division,DURHAM COUNTY COUNCIL,CORE-MAIN-013551,38343.00,Grants to local authorities
Department for Education,DfE Core,11/02/2021,Grants expenditure,Adoption and Children in Care Division,BREAK CHARITY,CORE-MAIN-013553,85541.24,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,11/02/2021,Grants expenditure,Adoption and Children in Care Division,CAMBRIDGE EDUCATION,CUPS0020663,1303012.92,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,11/02/2021,Other Goods & Services,Adoption and Children in Care Division,THE SHARE FOUNDATION,CORE-PINV-015274,80581.20,Other Professional Services
Department for Education,DfE Core,12/02/2021,Grants expenditure,Adoption and Children in Care Division,THE SHARE FOUNDATION 3RD PARTY TRUST,CORE-PINV-015093,68800.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,12/02/2021,Other Goods & Services,Adoption and Children in Care Division,CORAM,CORE-PINV-015311,27000.00,Other Professional Services
Department for Education,DfE Core,19/02/2021,Other Goods & Services,Adoption and Children in Care Division,CORAM CHILDRENS LEGAL CENTRE LTD,CORE-PINV-015582,26383.56,Other Professional Services
Department for Education,DfE Core,19/02/2021,Other Goods & Services,Adoption and Children in Care Division,CORAM CHILDRENS LEGAL CENTRE LTD,CORE-PINV-015582,989.95,Other Professional Services
Department for Education,DfE Core,19/02/2021,Other Goods & Services,Adoption and Children in Care Division,CORAM CHILDRENS LEGAL CENTRE LTD,CORE-PINV-015583,25897.20,Other Professional Services
Department for Education,DfE Core,19/02/2021,Other Goods & Services,Adoption and Children in Care Division,CORAM CHILDRENS LEGAL CENTRE LTD,CORE-PINV-015583,1394.83,Other Professional Services
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,DONCASTER CHILDRENS SERVICES TRUST,CORE-MAIN-014617,27401.51,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,KENT COUNTY COUNCIL,CORE-MAIN-014618,52681.00,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,MANCHESTER CITY COUNCIL,CORE-MAIN-014619,49162.00,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,CROYDON LONDON BOROUGH COUNCIL,CORE-MAIN-014621,28969.50,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,BARKING & DAGENHAM LONDON BOROUGH COUNCIL,CORE-MAIN-014639,50841.75,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,BARNET LONDON BOROUGH COUNCIL,CORE-MAIN-014640,42771.75,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,BATH & NORTH EAST SOMERSET COUNCIL,CORE-MAIN-014642,29052.50,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,BIRMINGHAM CITY COUNCIL,CORE-MAIN-014644,159788.75,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,BLACKPOOL BOROUGH COUNCIL,CORE-MAIN-014646,30666.50,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,BOLTON METRO BOROUGH COUNCIL,CORE-MAIN-014647,37122.50,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,"Bournemouth, Christchurch and Poole Council",CORE-MAIN-014648,41157.75,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,BRADFORD CITY COUNCIL,CORE-MAIN-014650,65368.00,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,BRENT LONDON BOROUGH COUNCIL,CORE-MAIN-014651,50034.75,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,BRIGHTON & HOVE CITY COUNCIL,CORE-MAIN-014652,76666.25,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,BRISTOL CITY COUNCIL,CORE-MAIN-014653,107332.75,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,BROMLEY LONDON BOROUGH COUNCIL,CORE-MAIN-014654,40350.75,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,Buckinghamshire Council,CORE-MAIN-014655,42771.75,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,CALDERDALE METRO BOROUGH COUNCIL,CORE-MAIN-014657,28245.50,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,CAMBRIDGESHIRE COUNTY COUNCIL,CORE-MAIN-014658,52455.75,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,CAMDEN LONDON BOROUGH COUNCIL,CORE-MAIN-014659,25017.50,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,CHESHIRE EAST BOROUGH COUNCIL,CORE-MAIN-014661,28245.50,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,CHESHIRE WEST & CHESTER COUNCIL,CORE-MAIN-014662,43578.75,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,CITY OF YORK COUNCIL,CORE-MAIN-014663,29859.50,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,CORNWALL COUNCIL,CORE-MAIN-014664,53263.00,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,COVENTRY CITY COUNCIL,CORE-MAIN-014666,55684.00,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,CROYDON LONDON BOROUGH COUNCIL,CORE-MAIN-014667,313928.25,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,CUMBRIA COUNTY COUNCIL,CORE-MAIN-014668,38736.75,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,DERBY CITY COUNCIL,CORE-MAIN-014670,40350.75,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,DERBYSHIRE COUNTY COUNCIL,CORE-MAIN-014671,75859.25,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,DEVON COUNTY COUNCIL,CORE-MAIN-014672,113788.75,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,Adoption and Children in Care Division,DONCASTER METRO BOROUGH COUNCIL,CORE-MAIN-014673,50841.75,Grants to local authorities
