Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,EAST SUSSEX COUNTY COUNCIL,1041111489,74427.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,BUCKINGHAMSHIRE COUNTY COUNCIL,1041111491,27713.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,NORTH YORKSHIRE COUNTY COUNCIL,1041111493,41171.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,STOCKPORT MBC,1041111494,37213.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,MANCHESTER CITY COUNCIL,1041111497,133018.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,BURY MBC,1041111498,28504.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,THE SHARE FOUNDATION 3RD PARTY TRUST,1041111515,38200.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,SWINDON BOROUGH COUNCIL,1041111519,45130.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,DERBYSHIRE COUNTY COUNCIL,1041111520,56217.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,BOLTON MBC,1041111521,26127.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,SOLIHULL MBC,1041111522,51465.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,SUNDERLAND CITY COUNCIL,1041111523,34047.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,WIGAN MBC,1041111542,29295.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,STOKE ON TRENT CITY COUNCIL,1041111543,30086.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,EAST RIDING OF YORKSHIRE,1041111545,26127.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,LEEDS CITY COUNCIL,1041111547,88679.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,WALSALL MBC,1041111548,38798.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,LIVERPOOL CITY COUNCIL,1041111549,99764.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,SANDWELL MBC,1041111552,33253.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,COVENTRY CITY COUNCIL,1041111553,38004.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,SALFORD CITY COUNCIL,1041111566,26127.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,PLYMOUTH CITY COUNCIL,1041111567,28504.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,CHESHIRE WEST & CHESTER COUNCIL,1041111571,27713.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,CHESHIRE EAST COUNCIL,1041111572,29295.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,BIRMINGHAM CITY COUNCIL,1041111575,120351.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,LONDON BOROUGH OF WALTHAM FOREST COUNCIL,1041111576,40380.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,LUTON BOROUGH COUNCIL,1041111595,38798.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,KINGSTON UPON HULL COUNCIL,1041111598,34047.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,LONDON BOROUGH OF NEWHAM,1041111603,64925.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,LONDON BOROUGH OF HOUNSLOW COUNCIL,1041111619,36421.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,LONDON BOROUGH OF HILLINGDON  COUNCIL,1041111620,45130.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
