Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,BRENT LONDON BOROUGH COUNCIL,CL055515,"1,187,126.81",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,Bristol City Council,CL055516,"1,412,573.62",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,Buckinghamshire Council,CL055517,"849,789.35",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,CALDERDALE METRO BOROUGH COUNCIL,CL055518,"358,995.23",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,CAMBRIDGESHIRE COUNTY COUNCIL,CL055519,"1,741,166.84",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,CENTRAL BEDFORDSHIRE COUNCIL,CL055520,"1,512,354.24",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,Cheshire East Council,CL055521,"625,916.03",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,CHESHIRE WEST & CHESTER COUNCIL,CL055522,"249,352.90",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,CORNWALL COUNCIL,CL055523,"635,684.87",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,COVENTRY CITY COUNCIL,CL055524,"1,524,946.86",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,CUMBRIA COUNTY COUNCIL,CL055525,"51,446.19",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,DEVON COUNTY COUNCIL,CL055526,"883,664.64",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,DONCASTER METRO BOROUGH COUNCIL,CL055527,"367,626.26",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,DUDLEY METRO BOROUGH COUNCIL,CL055528,"603,713.49",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,DURHAM COUNTY COUNCIL,CL055529,"110,233.98",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,EAST SUSSEX COUNTY COUNCIL,CL055530,"577,433.80",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,ENFIELD LONDON BOROUGH COUNCIL,CL055531,"94,885.10",Capital grants - Local Government
Department for Education,Capital,19/08/2022,Grants Expenditure,Capital Directorate,ESSEX COUNTY COUNCIL,CL055532,"2,842,143.38",Capital grants - Local Government
