Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,,
Department for Education,Core,25/03/2022,Grants Expenditure,Digital and Technology,NOTTINGHAMSHIRE COUNTY COUNCIL,CUPS0042268,"45,586.50",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,25/03/2022,Grants Expenditure,Digital and Technology,NOTTINGHAMSHIRE COUNTY COUNCIL,CUPS0042287,"29,750.63",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,25/03/2022,Grants Expenditure,Digital and Technology,NOTTINGHAMSHIRE COUNTY COUNCIL,CUPS0042305,"51,277.70",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,OLD PRIORY JUNIOR ACADEMY,CUPS0041518,"61,653.55",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,OXFORD DIOCESAN COUNCIL OF EDUCATION AND,CUPS0041477,"25,782.23",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,25/03/2022,Grants Expenditure,Digital and Technology,OXFORD DIOCESAN COUNCIL OF EDUCATION AND,CUPS0042300,"27,724.43",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,Piddle Valley Church of England First School,CUPS0041504,"27,797.75",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,04/03/2022,Grants Expenditure,Digital and Technology,PLYMOUTH CITY COUNCIL,CUPS0040292,"31,478.81",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,PLYMOUTH CITY COUNCIL,CUPS0040732,"28,728.75",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,PLYMOUTH CITY COUNCIL,CUPS0041447,"29,057.68",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,25/03/2022,Grants Expenditure,Digital and Technology,PLYMOUTH CITY COUNCIL,CUPS0042262,"39,967.00",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,Plympton St Mary CE Infants,CUPS0041521,"29,972.23",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,SALISBURY DIOCESAN BOARD OF EDUCATION,CUPS0040770,"44,958.55",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,SEFTON COUNCIL,CUPS0041456,"48,189.82",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,Sefton Metropolitan Borough Council,CUPS0041492,"25,828.40",Capital grants - Local Government,,,,,,,,,
