Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/12/2020,Stationery,"Trade, Europe And Analysis - Analysis Directorate","Personal Expense, Name Withheld",370682,139,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/12/2020,Exp - Miscellaneous Expenditure - Iexpenses,"Trade, Europe And Analysis - Analysis Directorate","Personal Expense, Name Withheld",370687,150.38,Mf Devolved Admin-exp - Miscellaneous Expenditure - Iexpenses,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/12/2020,Stationery,"Trade, Europe And Analysis - Analysis Directorate","Personal Expense, Name Withheld",371091,131.88,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/12/2020,Stationery,Market Frameworks - Regulation Executive,"Personal Expense, Name Withheld",370547,110.98,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Stationery,Market Frameworks - Regulation Executive,"Personal Expense, Name Withheld",371255,114.98,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,Economic Consultancy & Research,Market Frameworks - Regulation Executive,Rand Europe Community Interest Company,371645,18659.2,Eu Exit: No Specific Dexeu Issue Prog-economic Consultancy & Research,CB4 1YG,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/12/2020,Learning And Dev - Cs Skills,Market Frameworks - Regulation Executive,Korn Ferry (Uk) Ltd,372538,9269,Eu Exit: No Specific Dexeu Issue Prog-learning And Dev - Cs Skills,SW1Y 6QB,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/12/2020,Exp - Miscellaneous Expenditure - Iexpenses,Market Frameworks - Regulation Executive,"Personal Expense, Name Withheld",370869,115,Mf Devolved Admin-exp - Miscellaneous Expenditure - Iexpenses,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Stationery,Market Frameworks - Regulation Executive,"Personal Expense, Name Withheld",371151,130,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Gas,Market Frameworks - Office For Product Safety And Standards,Corona Energy Retail 4 Ltd,369193,1187.57,Opss: Central/Core-gas,WD17 1JW,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Gas,Market Frameworks - Office For Product Safety And Standards,Corona Energy Retail 4 Ltd,369194,1022.59,Opss: Central/Core-gas,WD17 1JW,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Gas,Market Frameworks - Office For Product Safety And Standards,Corona Energy Retail 4 Ltd,369195,2320.69,Opss: Central/Core-gas,WD17 1JW,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Gas,Market Frameworks - Office For Product Safety And Standards,Corona Energy Retail 4 Ltd,369197,1957.91,Opss: Central/Core-gas,WD17 1JW,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Gas,Market Frameworks - Office For Product Safety And Standards,Corona Energy Retail 4 Ltd,369198,1024.6,Opss: Central/Core-gas,WD17 1JW,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Gas,Market Frameworks - Office For Product Safety And Standards,Corona Energy Retail 4 Ltd,369199,927.54,Opss: Central/Core-gas,WD17 1JW,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/12/2020,Ict Outsourcing & Maintenance/Support,Market Frameworks - Office For Product Safety And Standards,Cabinet Office,369785,20909.86,Eu Markets Surveillance-ict Outsourcing & Maintenance/Support,E1 8QS,WGA ONLY,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/12/2020,Consultancy Expenditure,Market Frameworks - Office For Product Safety And Standards,Lgc Ltd,370036,8766,Opss: National Capacity Testing-consultancy Expenditure,TW11 0LY,GRANT,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/12/2020,Consultancy Expenditure,Market Frameworks - Office For Product Safety And Standards,Qualtrics Llc,370124,9442,Opss: Evaluation And Research-consultancy Expenditure,84604,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/12/2020,Exp - Miscellaneous Expenditure - Iexpenses,Market Frameworks - Office For Product Safety And Standards,"Personal Expense, Name Withheld",370172,70.78,Opss: Primary Authority-exp - Miscellaneous Expenditure - Iexpenses,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",02/12/2020,Scientific Equipment,Market Frameworks - Office For Product Safety And Standards,Absolute Calibration Ltd,370293,574,Opss: Legal Metrology Programme Calibration-scientific Equipment,PO16 9RD,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/12/2020,Stationery,Market Frameworks - Office For Product Safety And Standards,Banner Group Ltd,370344,54.7,Opss: Central/Core-stationery,NR3 1QU,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/12/2020,Stationery,Market Frameworks - Office For Product Safety And Standards,Banner Group Ltd,370344,61.06,Opss: Central/Core-stationery,NR3 1QU,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/12/2020,Ict Outsourcing & Maintenance/Support,Market Frameworks - Office For Product Safety And Standards,Little Fish (Uk) Ltd,370453,1380.5,Opss: National Capacity Organisational Cross Cutting-ict Outsourcing & Maintenance/Support,NG1 1LS,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/12/2020,Clearing Account   - Cost - Information Technology,Market Frameworks - Office For Product Safety And Standards,Kalpaitch Ltd,370457,15960,Opss: Primary Authority-clearing Account   - Cost - Information Technology,SE5 9PG,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/12/2020,Stationery,Market Frameworks - Office For Product Safety And Standards,"Personal Expense, Name Withheld",370517,22.99,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/12/2020,Other Professional Services,Market Frameworks - Office For Product Safety And Standards,Cleveland Containers Ltd,370530,158.63,Opss: National Capacity Testing-other Professional Services,TS18 3TX,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/12/2020,Other Professional Services,Market Frameworks - Office For Product Safety And Standards,Iff Research Ltd,370595,37473,Opss: National Capacity Market Surveilance And Consumer-other Professional Services,EC3R 6HD,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/12/2020,Other Professional Services,Market Frameworks - Office For Product Safety And Standards,Horsham District Council,370610,-1000,Opss: Strategic Regulation-other Professional Services,RH12 1RL,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/12/2020,Other Professional Services,Market Frameworks - Office For Product Safety And Standards,Horsham District Council,370610,2200,Opss: Strategic Regulation-other Professional Services,RH12 1RL,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/12/2020,Current Grants To Private Sector - Npish,Market Frameworks - Office For Product Safety And Standards,Chartered Trading Standards Institute,370661,8370.51,Opss: National Capacity Co-ordination-current Grants To Private Sector - Npish,SS15 6TH,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/12/2020,Current Grants To Private Sector - Npish,Market Frameworks - Office For Product Safety And Standards,Chartered Trading Standards Institute,370662,25711.3,Opss: National Capacity Co-ordination-current Grants To Private Sector - Npish,SS15 6TH,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/12/2020,Stationery,Market Frameworks - Office For Product Safety And Standards,"Personal Expense, Name Withheld",370877,181.26,Opss: National Capacity Testing-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/12/2020,Clearing Account   - Cost - Information Technology,Market Frameworks - Office For Product Safety And Standards,Investigo Ltd,370883,3300,Eu Markets Surveillance-clearing Account   - Cost - Information Technology,E1 6EG,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/12/2020,Clearing Account   - Cost - Information Technology,Market Frameworks - Office For Product Safety And Standards,Investigo Ltd,370884,2640,Eu Markets Surveillance-clearing Account   - Cost - Information Technology,E1 6EG,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/12/2020,Clearing Account   - Cost - Information Technology,Market Frameworks - Office For Product Safety And Standards,Investigo Ltd,370887,3300,Eu Markets Surveillance-clearing Account   - Cost - Information Technology,E1 6EG,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/12/2020,Technical Advice / Services & Support,Market Frameworks - Office For Product Safety And Standards,Chartered Trading Standards Institute,371032,8772.72,Opss: National Capacity Market Surveilance And Consumer-technical Advice / Services & Support,SS15 6TH,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/12/2020,Internal Training,Market Frameworks - Office For Product Safety And Standards,Korn Ferry (Uk) Ltd,371034,2976.47,Opss: National Capacity Co-ordination-internal Training,SW1Y 6QB,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Clearing Account   - Cost - Information Technology,Market Frameworks - Office For Product Safety And Standards,Hitachi Solutions Europe Ltd,371140,9528,Eu Markets Surveillance-clearing Account   - Cost - Information Technology,EC2N 1HQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Clearing Account   - Cost - Information Technology,Market Frameworks - Office For Product Safety And Standards,Hitachi Solutions Europe Ltd,371156,1344,Eu Markets Surveillance-clearing Account   - Cost - Information Technology,EC2N 1HQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Clearing Account   - Cost - Information Technology,Market Frameworks - Office For Product Safety And Standards,Veracity Osi Uk Ltd,371199,18523.75,Opss: National Capacity Market Surveilance And Consumer-clearing Account   - Cost - Information Technology,EC3R 8LJ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Other Professional Services,Market Frameworks - Office For Product Safety And Standards,Veracity Osi Uk Ltd,371199,18523.75,Opss: National Capacity Organisational Cross Cutting-other Professional Services,EC3R 8LJ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/12/2020,Learning And Dev - Cs Skills,Market Frameworks - Office For Product Safety And Standards,Market Surveillance Specialists,371213,1500,Opss: National Capacity Organisational Cross Cutting-learning And Dev - Cs Skills,GL17 9QD,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",11/12/2020,External Legal Advice And Service,Market Frameworks - Office For Product Safety And Standards,Albion Chambers,371426,1040,Opss: Innovating For Growth-external Legal Advice And Service,BS1 1DR,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",11/12/2020,Stationery,Market Frameworks - Office For Product Safety And Standards,"Personal Expense, Name Withheld",371452,26,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/12/2020,Current Grants To Private Sector - Npish,Market Frameworks - Office For Product Safety And Standards,Rospa Enterprises Ltd,371458,25000,Opss: National Capacity Market Surveilance And Consumer-current Grants To Private Sector - Npish,B15 1RP,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",11/12/2020,Clearing Account   - Cost - Information Technology,Market Frameworks - Office For Product Safety And Standards,Experis Ltd,371469,27000,Eu Markets Surveillance-clearing Account   - Cost - Information Technology,WA14 1JY,VENDOR,,,,,,,,,,,,,,,,,,
