Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,"Energy and Security - Energy Security, Networks and Markets","Personal Expense, Name Withheld",355302,26.00,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,"Energy and Security - Energy Security, Networks and Markets","Personal Expense, Name Withheld",355303,26.00,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,"Energy and Security - Energy Security, Networks and Markets","Personal Expense, Name Withheld",355304,26.00,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,"Energy and Security - Energy Security, Networks and Markets","Personal Expense, Name Withheld",355306,26.00,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,Market Frameworks - Labour Market,"Personal Expense, Name Withheld",355307,18.00,Default-Stationery,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,Market Frameworks - Labour Market,"Personal Expense, Name Withheld",355308,26.00,Default-Stationery,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,Market Frameworks - Labour Market,"Personal Expense, Name Withheld",355309,26.00,Default-Stationery,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,Market Frameworks - Labour Market,"Personal Expense, Name Withheld",355310,26.00,Default-Stationery,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,Market Frameworks - Labour Market,"Personal Expense, Name Withheld",355311,26.00,Default-Stationery,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,"Industrial Strategy, Science and Innovation - Government Office for Science","Personal Expense, Name Withheld",355312,13.00,Default-Stationery,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,"Industrial Strategy, Science and Innovation - Government Office for Science","Personal Expense, Name Withheld",355315,26.00,Default-Stationery,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,Energy Transformation and Clean Growth - Climate and Energy - Trade and Europe,"Personal Expense, Name Withheld",355316,26.00,Default-Stationery,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,"Industrial Strategy, Science and Innovation - Business Growth","Personal Expense, Name Withheld",355317,18.00,Default-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,"Industrial Strategy, Science and Innovation - Business Growth","Personal Expense, Name Withheld",355318,26.00,Default-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,"Industrial Strategy, Science and Innovation - Business Growth","Personal Expense, Name Withheld",355319,26.00,Default-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,"Industrial Strategy, Science and Innovation - Business Growth","Personal Expense, Name Withheld",355321,26.00,Default-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,"Industrial Strategy, Science and Innovation - Business Growth","Personal Expense, Name Withheld",355322,26.00,Default-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,Market Frameworks - Regulation Executive,"Personal Expense, Name Withheld",355323,18.00,Default-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,Market Frameworks - Regulation Executive,"Personal Expense, Name Withheld",355324,26.00,Default-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,Market Frameworks - Regulation Executive,"Personal Expense, Name Withheld",355325,26.00,Default-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,Market Frameworks - Regulation Executive,"Personal Expense, Name Withheld",355326,26.00,Default-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,"Trade, Europe and Analysis - Trade and Investment Negotiations Services","Personal Expense, Name Withheld",355327,26.00,Default-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,"Trade, Europe and Analysis - Trade and Investment Negotiations Services","Personal Expense, Name Withheld",355328,26.00,Default-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,"Trade, Europe and Analysis - Trade and Investment Negotiations Services","Personal Expense, Name Withheld",355329,26.00,Default-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,"Trade, Europe and Analysis - Trade and Investment Negotiations Services","Personal Expense, Name Withheld",355330,26.00,Default-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,"Industrial Strategy, Science and Innovation - Business Growth","Personal Expense, Name Withheld",355331,18.00,Default-Stationery,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,"Industrial Strategy, Science and Innovation - Business Growth","Personal Expense, Name Withheld",355332,26.00,Default-Stationery,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,"Industrial Strategy, Science and Innovation - Business Growth","Personal Expense, Name Withheld",355333,26.00,Default-Stationery,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,"Industrial Strategy, Science and Innovation - Business Growth","Personal Expense, Name Withheld",355334,26.00,Default-Stationery,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,Energy and Security - Energy Development and Resilience,"Personal Expense, Name Withheld",355370,39.99,Offshore Decommissioning-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,Subsistence UK,Market Frameworks - Office for Product Safety and Standards,"Personal Expense, Name Withheld",355371,5.00,OPSS: National Capacity Co-ordination-Subsistence UK,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,Subsistence UK,Market Frameworks - Office for Product Safety and Standards,"Personal Expense, Name Withheld",355371,20.00,OPSS: National Capacity Co-ordination-Subsistence UK,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,Hospitality - UK,Market Frameworks - Office for Product Safety and Standards,"Personal Expense, Name Withheld",355371,103.38,OPSS: National Capacity Co-ordination-Hospitality - UK,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,Mileage Allowance UK,Market Frameworks - Office for Product Safety and Standards,"Personal Expense, Name Withheld",355371,319.51,OPSS: National Capacity Co-ordination-Mileage Allowance UK,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,Energy Transformation and Clean Growth - International Energy and Climate Finance,"Personal Expense, Name Withheld",355372,147.99,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Taxi Services UK,Corporate Services - Communications,"Personal Expense, Name Withheld",355373,43.74,MF Devolved Admin-Taxi Services UK,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,Corporate Services - DG CS Office,"Personal Expense, Name Withheld",355374,330.81,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Professional Training,Corporate Services - Human Resources,"Personal Expense, Name Withheld",355383,340.00,MF Devolved Admin-Professional Training,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,Business Sectors - Advanced Manufacturing,"Personal Expense, Name Withheld",355385,208.10,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,Market Frameworks - Regulation Executive,"Personal Expense, Name Withheld",355386,50.00,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Subsistence UK,"Corporate Services - Policy, Delivery and Private Office","Personal Expense, Name Withheld",355387,9.30,MF Devolved Admin-Subsistence UK,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Subsistence UK,"Corporate Services - Policy, Delivery and Private Office","Personal Expense, Name Withheld",355387,12.64,MF Devolved Admin-Subsistence UK,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Hospitality - UK,"Corporate Services - Policy, Delivery and Private Office","Personal Expense, Name Withheld",355387,31.12,MF Devolved Admin-Hospitality - UK,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Taxi Services UK,"Corporate Services - Policy, Delivery and Private Office","Personal Expense, Name Withheld",355387,40.60,MF Devolved Admin-Taxi Services UK,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Hospitality - UK,"Trade, Europe and Analysis - Trade and Investment Negotiations Services","Personal Expense, Name Withheld",355388,53.94,EU Exit Core BEIS Staff: EU Exit Programme ADM-Hospitality - UK,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,"People, Strategy and Higher Education - Strategy and Growth","Personal Expense, Name Withheld",355389,212.09,DB: Queens Award-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,Corporate Services - Human Resources,"Personal Expense, Name Withheld",355391,330.34,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,Energy Transformation and Clean Growth - Smart Metering Implementation Programme,"Personal Expense, Name Withheld",355392,285.23,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,Energy Transformation and Clean Growth - International Energy and Climate Finance,"Personal Expense, Name Withheld",355393,34.99,International Climate Finance (ICF)-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,"Trade, Europe and Analysis - Analysis Directorate","Personal Expense, Name Withheld",355394,64.40,International Climate Finance (ICF)-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,Stationery,"Trade, Europe and Analysis - Trade and Investment Negotiations Services","Personal Expense, Name Withheld",355395,150.00,EU Exit Core BEIS Staff: EU Exit Programme ADM-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,Business Sectors - EU Exit Business Readiness,"Personal Expense, Name Withheld",355396,93.99,EU Exit Core BEIS Staff: EU Exit Programme ADM-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,Corporate Services - Communications,"Personal Expense, Name Withheld",355397,50.96,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15 July 2020,Stationery,Energy Transformation and Clean Growth - Clean Heat,"Personal Expense, Name Withheld",355400,112.30,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",20 July 2020,Hotel & Accommodation Overseas,"Trade, Europe and Analysis - Economic Partnerships Directorate","Personal Expense, Name Withheld",355429,1677.96,EU Expertise: General Costs-Hotel & Accommodation Overseas,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",20 July 2020,Hotel & Accommodation Overseas,"Trade, Europe and Analysis - Economic Partnerships Directorate","Personal Expense, Name Withheld",355432,1256.20,EU Expertise: General Costs-Hotel & Accommodation Overseas,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,Stationery,Business Sectors - EU Exit Business Readiness,"Personal Expense, Name Withheld",355481,19.99,EU Exit Core BEIS Staff: EU Exit Programme ADM-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,Stationery,"Industrial Strategy, Science and Innovation - International Science and Innovation","Personal Expense, Name Withheld",355482,88.80,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,Stationery,Energy and Security - Energy Development and Resilience,"Personal Expense, Name Withheld",355483,44.70,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,Stationery,"Trade, Europe and Analysis - Trade and Investment Negotiations Goods","Personal Expense, Name Withheld",355484,239.90,EU Exit Core BEIS Staff: EU Exit Programme ADM-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,Stationery,Corporate Services - Human Resources,"Personal Expense, Name Withheld",355486,109.98,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,Stationery,Energy Transformation and Clean Growth - Industrial Energy,"Personal Expense, Name Withheld",355487,5.91,EU Exit Core BEIS Staff: Energy & Climate Workstream ADM-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,EXP - Miscellaneous Expenditure - iExpenses,Energy Transformation and Clean Growth - International Climate Change,"Personal Expense, Name Withheld",355490,406.84,MF Devolved Admin-EXP - Miscellaneous Expenditure - iExpenses,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,EXP - Miscellaneous Expenditure - iExpenses,"Energy and Security - Energy Security, Networks and Markets","Personal Expense, Name Withheld",355491,25.00,MF Devolved Admin-EXP - Miscellaneous Expenditure - iExpenses,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,Stationery,"Corporate Services - Digital, Data & Technology","Personal Expense, Name Withheld",355492,9.99,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,EXP - Miscellaneous Expenditure - iExpenses,Market Frameworks - Office for Product Safety and Standards,"Personal Expense, Name Withheld",355494,14.99,MF Devolved Admin-EXP - Miscellaneous Expenditure - iExpenses,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,Stationery,Corporate Services - Commercial & Operations,"Personal Expense, Name Withheld",355496,13.98,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,Stationery,"Industrial Strategy, Science and Innovation - International Science and Innovation","Personal Expense, Name Withheld",355497,205.43,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,Stationery,Market Frameworks - Office for Product Safety and Standards,"Personal Expense, Name Withheld",355498,207.99,OPSS: National Capacity Organisational Cross Cutting-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,Other Travel,"Trade, Europe and Analysis - Trade and Investment Negotiations Goods","Personal Expense, Name Withheld",355499,2.40,EU Exit Core BEIS Staff: EU Exit Programme ADM-Other Travel,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,Subsistence UK,"Trade, Europe and Analysis - Trade and Investment Negotiations Goods","Personal Expense, Name Withheld",355499,9.16,EU Exit Core BEIS Staff: EU Exit Programme ADM-Subsistence UK,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,Taxi Services UK,"Trade, Europe and Analysis - Trade and Investment Negotiations Goods","Personal Expense, Name Withheld",355500,13.03,EU Exit Core BEIS Staff: EU Exit Programme ADM-Taxi Services UK,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,Subsistence UK,"Trade, Europe and Analysis - Trade and Investment Negotiations Goods","Personal Expense, Name Withheld",355501,4.15,EU Exit Core BEIS Staff: EU Exit Programme ADM-Subsistence UK,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,Hospitality - UK,"Trade, Europe and Analysis - Trade and Investment Negotiations Goods","Personal Expense, Name Withheld",355502,41.15,EU Exit Core BEIS Staff: EU Exit Programme ADM-Hospitality - UK,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16 July 2020,Stationery,Market Frameworks - Office for Product Safety and Standards,"Personal Expense, Name Withheld",355503,305.97,OPSS: National Capacity Enforcement-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17 July 2020,Mileage Allowance UK,"Corporate Services - Policy, Delivery and Private Office","Personal Expense, Name Withheld",355580,23.40,Default-Mileage Allowance UK,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17 July 2020,Stationery,Energy and Security - Clean Power Strategy and Deployment,"Personal Expense, Name Withheld",355584,246.92,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17 July 2020,Taxi Services UK,"Trade, Europe and Analysis - Trade and Investment Negotiations Goods","Personal Expense, Name Withheld",355592,10.40,EU Exit Core BEIS Staff: EU Exit Programme ADM-Taxi Services UK,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17 July 2020,Stationery,"Trade, Europe and Analysis - Trade and Investment Negotiations Goods","Personal Expense, Name Withheld",355593,212.99,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17 July 2020,Stationery,Market Frameworks - Office for Product Safety and Standards,"Personal Expense, Name Withheld",355595,69.99,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17 July 2020,Professional Subscriptions,Market Frameworks - Office for Product Safety and Standards,"Personal Expense, Name Withheld",355595,170.00,MF Devolved Admin-Professional Subscriptions,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17 July 2020,Stationery,Corporate Services - Communications,"Personal Expense, Name Withheld",355597,110.00,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17 July 2020,EXP - Miscellaneous Expenditure - iExpenses,"Industrial Strategy, Science and Innovation - Business Growth","Personal Expense, Name Withheld",355598,172.92,MF Devolved Admin-EXP - Miscellaneous Expenditure - iExpenses,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17 July 2020,Stationery,Market Frameworks - Business Frameworks,"Personal Expense, Name Withheld",355599,303.73,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17 July 2020,EXP - Miscellaneous Expenditure - iExpenses,"Industrial Strategy, Science and Innovation - Government Office for Science","Personal Expense, Name Withheld",355600,109.99,MF Devolved Admin-EXP - Miscellaneous Expenditure - iExpenses,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17 July 2020,Stationery,"Trade, Europe and Analysis - Economic Partnerships Directorate","Personal Expense, Name Withheld",355601,18.50,EU Exit Core BEIS Staff: EU Exit Programme ADM-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17 July 2020,Stationery,Corporate Services - Finance & Portfolio,"Personal Expense, Name Withheld",355603,115.00,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17 July 2020,Other Travel,Market Frameworks - Office of Manpower Economics,"Personal Expense, Name Withheld",355604,113.05,MF Devolved Admin-Other Travel,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17 July 2020,Stationery,Market Frameworks - Office for Product Safety and Standards,"Personal Expense, Name Withheld",355605,82.99,OPSS: Cross Cutting-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17 July 2020,Professional Subscriptions,Market Frameworks - Office for Product Safety and Standards,"Personal Expense, Name Withheld",355605,163.00,OPSS: Cross Cutting-Professional Subscriptions,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17 July 2020,Stationery,Energy Transformation and Clean Growth - Science and Innovation,"Personal Expense, Name Withheld",355606,231.93,Delivery of DECC Energy Innovation-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17 July 2020,Stationery,Market Frameworks - Labour Market,"Personal Expense, Name Withheld",355610,51.17,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",20 July 2020,Stationery,"Industrial Strategy, Science and Innovation - International Science and Innovation","Personal Expense, Name Withheld",355747,72.97,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",20 July 2020,Stationery,"Trade, Europe and Analysis - Analysis Directorate","Personal Expense, Name Withheld",355768,20.00,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",20 July 2020,Stationery,Energy Transformation and Clean Growth - International Energy and Climate Finance,"Personal Expense, Name Withheld",355770,475.97,International Climate Finance (ICF)-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",20 July 2020,Stationery,Corporate Services - Commercial & Operations,"Personal Expense, Name Withheld",355771,39.98,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",20 July 2020,Stationery,Energy and Security - Nuclear Directorate - SS,"Personal Expense, Name Withheld",355772,59.99,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",20 July 2020,EXP - Miscellaneous Expenditure - iExpenses,Energy Transformation and Clean Growth - International Climate Change,"Personal Expense, Name Withheld",355773,150.00,MF Devolved Admin-EXP - Miscellaneous Expenditure - iExpenses,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",20 July 2020,Stationery,Market Frameworks - Business Frameworks,"Personal Expense, Name Withheld",355774,79.99,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",20 July 2020,Taxi Services UK,Corporate Services - Communications,"Personal Expense, Name Withheld",355775,47.22,MF Devolved Admin-Taxi Services UK,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",20 July 2020,Mileage Allowance UK,Market Frameworks - Office for Product Safety and Standards,"Personal Expense, Name Withheld",355776,144.45,OPSS: National Capacity Co-ordination-Mileage Allowance UK,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",20 July 2020,Stationery,Business Sectors - Advanced Manufacturing,"Personal Expense, Name Withheld",355777,150.00,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",20 July 2020,Stationery,Energy Transformation and Clean Growth - Clean Growth,"Personal Expense, Name Withheld",355778,358.91,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",20 July 2020,Stationery,Corporate Services - Finance & Portfolio,"Personal Expense, Name Withheld",355779,29.99,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",20 July 2020,Stationery,Energy Transformation and Clean Growth - International Climate Change,"Personal Expense, Name Withheld",355780,44.02,MF Devolved Admin-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",20 July 2020,EXP - Miscellaneous Expenditure - iExpenses,Energy and Security - Clean Power Strategy and Deployment,"Personal Expense, Name Withheld",355781,224.40,MF Devolved Admin-EXP - Miscellaneous Expenditure - iExpenses,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",20 July 2020,Mileage Allowance UK,Corporate Services - Commercial & Operations,"Personal Expense, Name Withheld",355794,15.48,MF Devolved Admin-Mileage Allowance UK,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",20 July 2020,Other Travel,Corporate Services - Commercial & Operations,"Personal Expense, Name Withheld",355794,30.00,MF Devolved Admin-Other Travel,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Stationery,"Business Sectors - Professional Business Services, Retail and Post","Personal Expense, Name Withheld",355820,165.00,Default-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Static Call Charges,Market Frameworks - Office of Manpower Economics,"Personal Expense, Name Withheld",355822,13.50,MF Devolved Admin-Static Call Charges,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Stationery,"Trade, Europe and Analysis - Trade and Investment Negotiations Goods","Personal Expense, Name Withheld",355885,73.49,EU Exit Core BEIS Staff: EU Exit Programme ADM-Stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21 July 2020,Stationery,Market Frameworks - Business Frameworks,"Personal Expense, Name Withheld",355886,188.99,MF Devolved Admin-Stationery,,EMPLOYEE
