Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/06/2021,Ict Outsourcing & Maintenance/Support,"Trade, International, The Union & Analysis - Analysis Directorate",Code It Recruitment Ltd,395449,10000,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,EC2R 5BJ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/06/2021,Ict Outsourcing & Maintenance/Support,"Trade, International, The Union & Analysis - Analysis Directorate",Code It Recruitment Ltd,395450,10000,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,EC2R 5BJ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/06/2021,Ict Outsourcing & Maintenance/Support,"Trade, International, The Union & Analysis - Analysis Directorate",Mango Business Solutions Ltd,395465,21346.8,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,SN14 0GB,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/06/2021,Ict Outsourcing & Maintenance/Support,"Trade, International, The Union & Analysis - Analysis Directorate",Fordway Solutions Ltd,395830,14300,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,GU7 1JJ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/06/2021,Ict Outsourcing & Maintenance/Support,"Trade, International, The Union & Analysis - Analysis Directorate",Fordway Solutions Ltd,395832,158634.06,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,GU7 1JJ,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/06/2021,Ict Outsourcing & Maintenance/Support,"Trade, International, The Union & Analysis - Analysis Directorate",G33k Ltd,395882,9450,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,SL1 6LG,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/06/2021,Ict Outsourcing & Maintenance/Support,"Trade, International, The Union & Analysis - Analysis Directorate",People Source Consulting Ltd,395884,11400,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,BS1 6BA,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/06/2021,Ict Outsourcing & Maintenance/Support,"Trade, International, The Union & Analysis - Analysis Directorate",Logix It Recruitment Ltd,395914,3750,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,BR1 1NA,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/06/2021,Ict Outsourcing & Maintenance/Support,"Trade, International, The Union & Analysis - Analysis Directorate",Logix It Recruitment Ltd,396137,9450,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,BR1 1NA,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/06/2021,R & D Economic Consultancy And Research,"Trade, International, The Union & Analysis - Analysis Directorate",Kantar Uk Ltd,396161,82527,Construction: Statistics And Other Sponsorship Activities-r & D Economic Consultancy And Research,W5 1UA,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/06/2021,Ict Outsourcing & Maintenance/Support,"Trade, International, The Union & Analysis - Analysis Directorate",Acuity Training Ltd,396546,4410,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,GU2 7YG,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",18/06/2021,Economic Consultancy & Research,"Trade, International, The Union & Analysis - Analysis Directorate",Ieconomics Inc,396938,2223.9,Mf Devolved Admin-economic Consultancy & Research,11379,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/06/2021,Ict Outsourcing & Maintenance/Support,"Trade, International, The Union & Analysis - Analysis Directorate",Timberlake Consultants Ltd,397381,2976,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,TW9 3GA,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22/06/2021,Economic Consultancy & Research,"Trade, International, The Union & Analysis - Analysis Directorate",Iff Research Ltd,397715,6276.56,Mf Devolved Admin-economic Consultancy & Research,EC3R 6HD,VENDOR
