Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,12/05/2022,Buildings Maintenance,Army Command,PROJECT FF&E LIMITED,HX1 2AF,624492,Buildings Maintenance,£34.79
Ministry of Defence,Ministry of Defence,16/05/2022,Other Materiel Consumed,Defence Nuclear Organisation,BANNER GROUP LIMITED,S9 1XU,625249,Other Materiel Consumed,£34.77
Ministry of Defence,Ministry of Defence,05/05/2022,Other Materiel Consumed,Navy Command,BANNER GROUP LIMITED,S9 1XU,623160,Other Materiel Consumed,£34.49
Ministry of Defence,Ministry of Defence,19/05/2022,P+M General Services,Defence Equipment and Support,NORTHERN DIVER (INTERNATIONAL) LTD,WN6 9AE,626027,P+M General Services,£33.66
Ministry of Defence,Ministry of Defence,25/05/2022,Telecomms + IT non capital,Head Office and Corporate Services,BANNER GROUP LIMITED,S9 1XU,626976,IT+Comms Internal Costs,£33.23
Ministry of Defence,Ministry of Defence,17/05/2022,Other Materiel Consumed,Strategic Command,AAH PHARMACEUTICALS LTD,CV2 2TX,625480,Other Materiel Consumed,£31.80
Ministry of Defence,Ministry of Defence,17/05/2022,Med/Welfare/Soc+Rec Costs,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,625440,Medical Costs,£30.00
Ministry of Defence,Ministry of Defence,05/05/2022,P+M General Services,Air Command,GALTEC SOLUTIONS LIMITED,LS18 4DF,623063,P+M General Services,£29.94
Ministry of Defence,Ministry of Defence,19/05/2022,Telecomms + IT non capital,Army Command,BOXXE LIMITED,YO31 7RE,625906,IT+Comms Internal Costs,£29.88
Ministry of Defence,Ministry of Defence,13/05/2022,Med/Welfare/Soc+Rec Costs,Strategic Command,NEWITT & CO LTD,YO60 7RE,624895,Recreation Costs,£29.76
Ministry of Defence,Ministry of Defence,17/05/2022,Telecomms + IT non capital,Air Command,BOXXE LIMITED,YO31 7RE,625387,IT+Comms Internal Costs,£29.66
Ministry of Defence,Ministry of Defence,19/05/2022,Telecomms + IT non capital,DEFENCE INFRASTRUCTURE ORGANISATION,AKHTER COMPUTERS LIMITED,CM18 7PN,625929,IT+Comms Internal Costs,£27.78
Ministry of Defence,Ministry of Defence,25/05/2022,Med/Welfare/Soc+Rec Costs,Army Command,AAH PHARMACEUTICALS LTD,CV2 2TX,626972,Medical Costs,£27.18
Ministry of Defence,Ministry of Defence,06/05/2022,Telecomms + IT non capital,Army Command,BANNER GROUP LIMITED,S9 1XU,623420,IT+Comms Internal Costs,£26.95
Ministry of Defence,Ministry of Defence,11/05/2022,P+M General Services,Defence Nuclear Organisation,BANNER GROUP LIMITED,S9 1XU,624123,P+M General Services,£26.40
Ministry of Defence,Ministry of Defence,06/05/2022,Entertainment + Hospitality,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007764,Entertainment + Hospitality,£26.26
Ministry of Defence,Ministry of Defence,12/05/2022,P+M General Services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007782,P+M General Services,£25.83
Ministry of Defence,Ministry of Defence,06/05/2022,P+M General Services,Defence Equipment and Support,AKHTER COMPUTERS LIMITED,CM18 7PN,623443,P+M General Services,£24.96
Ministry of Defence,Ministry of Defence,05/05/2022,Transportation + Movement,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007759,Military Detached Duty,£24.66
Ministry of Defence,Ministry of Defence,10/05/2022,P+M General Services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007769,P+M General Services,£23.94
Ministry of Defence,Ministry of Defence,06/05/2022,Other Materiel Consumed,DES Bespoke Trading Entity,AKHTER COMPUTERS LIMITED,CM18 7PN,623443,Other Materiel Consumed,£22.99
Ministry of Defence,Ministry of Defence,20/05/2022,Transportation + Movement,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007809,Transport+Movement Personnel,£22.11
Ministry of Defence,Ministry of Defence,03/05/2022,Fuels Non Utilities Consumed,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007755,Fuels Non Utilities Consumed,£21.82
Ministry of Defence,Ministry of Defence,30/05/2022,Telecomms + IT non capital,DES Bespoke Trading Entity,AKHTER COMPUTERS LIMITED,CM18 7PN,627976,IT+Comms Internal Costs,£21.56
Ministry of Defence,Ministry of Defence,18/05/2022,Telecomms + IT non capital,Head Office and Corporate Services,AKHTER COMPUTERS LIMITED,CM18 7PN,625773,IT+Comms Internal Costs,£21.54
Ministry of Defence,Ministry of Defence,30/05/2022,Telecomms + IT non capital,DES Bespoke Trading Entity,BANNER GROUP LIMITED,S9 1XU,627864,IT+Comms Internal Costs,£21.14
